"address","type","format","description","unit","value"
"40631","STR32","UTF8","Device Name",""
"30057","U32","RAW","Seriennummer",""
"30775","S32","FIX0","AC Wirkleistung","W"
"30813","S32","FIX0","AC Scheinleistung","VA"
"30977","S32","FIX3","AC Strom","A"
"30783","S32","FIX2","AC Spannung (L1-N)","V"
"30803","U32","FIX2","Netzfrequenz","Hz"
"30773","S32","FIX0","DC Leistung","W"
"30771","S32","FIX2","DC Eingangsspannung","V"
"30953","S32","FIX1","Gerätetemperatur","°C"
"30517","U64","FIX0","Tagesertrag","Wh"
"30513","U64","FIX0","Gesamtertrag","Wh"
"30521","U64","FIX0","Betriebszeit","s"
"30525","U64","FIX0","Einspeisezeit","s"
"30975","S32","FIX2","Zwischenkreisspannung","V"
"30225","S32","FIX0","Isolationswiderstand","Ω"
"30581","U32","FIX0","Bezugszähler","Wh"
"30583","U32","FIX0","Einspeisezähler","Wh"
"30865","S32","FIX0","Bezugsleistung","W"
"30867","S32","FIX0","Einspeiseleistung","W"
--------------------------------------------------
time,Device Name,Seriennummer,AC Wirkleistung (W),AC Scheinleistung (VA),AC Strom (A),AC Spannung (L1-N) (V),Netzfrequenz (Hz),DC Leistung (W),DC Eingangsspannung (V),Gerätetemperatur (°C),Tagesertrag (Wh),Gesamtertrag (Wh),Betriebszeit (s),Einspeisezeit (s),Zwischenkreisspannung (V),Isolationswiderstand (Ω),Bezugszähler (Wh),Einspeisezähler (Wh),Bezugsleistung (W),Einspeiseleistung (W)
2018-07-23 09:07:45,SN: 1930027072,1930027072,1398,1408,5.979,235.49,49.98,1439,270.14,48.7,3180,5407370,33470318,33070506,339.11,2843761,5673858,3088317,0,968
2018-07-23 09:07:55,SN: 1930027072,1930027072,694,695,2.955,235.35,50.0,738,270.12,48.9,3184,5407373,33470328,33070516,334.65,2843761,5673858,3088319,0,352
2018-07-23 09:08:05,SN: 1930027072,1930027072,1015,1020,4.337,235.28,50.01,1051,270.16,48.8,3186,5407375,33470339,33070527,336.6,2843761,5673858,3088320,0,813
2018-07-23 09:08:26,SN: 1930027072,1930027072,1682,1714,7.256,236.27,50.0,1705,270.12,48.9,3194,5407384,33470359,33070547,341.33,2843761,5673859,3088326,512,0
2018-07-23 09:08:37,SN: 1930027072,1930027072,1238,1239,5.259,235.62,49.99,1272,273.9,48.9,3199,5407388,33470370,33070558,338.52,2843761,5673859,3088329,0,948
2018-07-23 09:08:47,SN: 1930027072,1930027072,1584,1609,6.824,235.76,49.99,1564,275.02,49.0,3202,5407391,33470380,33070568,340.44,2843761,5673859,3088332,0,1304
2018-07-23 09:08:57,SN: 1930027072,1930027072,1714,1749,7.416,235.79,49.99,1786,285.25,49.0,3207,5407397,33470391,33070579,341.1,2843761,5673859,3088336,0,1453
2018-07-23 09:09:08,SN: 1930027072,1930027072,1682,1714,7.268,235.92,49.99,1717,277.68,49.0,3212,5407401,33470401,33070589,340.59,2843761,5673859,3088340,0,1388
2018-07-23 09:09:18,SN: 1930027072,1930027072,1736,1774,7.51,236.24,49.99,1800,273.9,49.1,3216,5407406,33470412,33070600,341.44,2843761,5673859,3088344,0,1496
2018-07-23 09:09:29,SN: 1930027072,1930027072,1886,1937,8.198,236.28,49.99,1962,281.47,49.0,3222,5407412,33470422,33070610,342.41,2843761,5673859,3088347,0,1632
2018-07-23 09:09:39,SN: 1930027072,1930027072,1904,1957,8.28,236.45,49.99,1978,270.77,49.0,3227,5407417,33470433,33070621,342.98,2843761,5673859,3088352,0,1653
2018-07-23 09:09:50,SN: 1930027072,1930027072,1881,1932,8.168,236.51,49.99,1952,270.12,49.1,3232,5407423,33470443,33070631,342.81,2843761,5673859,3088356,0,1614
2018-07-23 09:10:00,SN: 1930027072,1930027072,604,604,2.562,235.71,49.99,764,276.14,49.1,3237,5407426,33470453,33070641,335.2,2843761,5673859,3088359,0,391
2018-07-23 09:10:11,SN: 1930027072,1930027072,549,552,2.341,235.76,50.0,578,266.34,49.1,3239,5407428,33470464,33070652,334.25,2843761,5673859,3088360,0,285
2018-07-23 09:10:21,SN: 1930027072,1930027072,552,555,2.356,235.69,49.99,582,266.34,49.1,3241,5407429,33470474,33070662,334.06,2843761,5673859,3088361,0,288
2018-07-23 09:10:32,SN: 1930027072,1930027072,607,610,2.586,235.85,50.0,638,266.34,49.1,3242,5407431,33470485,33070673,334.84,2843761,5673861,3088361,0,375
2018-07-23 09:10:42,SN: 1930027072,1930027072,564,568,2.406,235.86,50.01,593,262.53,49.1,3244,5407433,33470495,33070683,334.23,2843761,5673861,3088362,0,321
2018-07-23 09:10:52,SN: 1930027072,1930027072,597,600,2.545,235.75,50.0,628,264.2,49.0,3246,5407435,33470506,33070694,334.38,2843761,5673861,3088363,0,353
2018-07-23 09:11:03,SN: 1930027072,1930027072,616,619,2.6,235.88,49.98,648,262.55,49.1,3247,5407436,33470516,33070704,334.44,2843761,5673861,3088364,0,363
